"","Commune","Pourcentage de oui"
"1","Montpreveyres (VD)",25.833333333
"2","Orges (VD)",26.984126984
"3","Lausanne (VD)",27.783318611
"4","Rodersdorf (SO)",27.794117647
"5","Berne (BE)",28.864719324
"6","Bussy-Chardonney (VD)",29.126213592
"7","Avully (GE)",29.617834395
"8","Treycovagnes (VD)",29.949238579
"9","Kaiserstuhl (AG)",30.136986301
"10","Vevey (VD)",30.429546367
