"","Commune","Pourcentage de oui"
"1","Embd (VS)",97.076023392
"2","Blatten (VS)",96.551724138
"3","Eisten (VS)",95.689655172
"4","Törbel (VS)",94.736842105
"5","Saas-Almagell (VS)",94.170403587
"6","Eischoll (VS)",93.023255814
"7","Kippel (VS)",92.792792793
"8","Staldenried (VS)",92.572944297
"9","Stalden (VS)",92.5
"10","Saas-Grund (VS)",92.482517483
